headlines,terms,dates
"bolton in fox news interview accuses trump of ‘reprehensible conduct,’ denies violating records act",trump,2020-06-23
"john bolton discusses his new book, loyalty, trump impeachment in part 1 of his interview with bret baier",trump,2020-06-23
"john bolton discusses trump doctrine, decision to resign in part 2 of his interview with bret baier",trump,2020-06-23
trump campaign names hogan gidley national press secretary,trump,2020-06-23
"trump calls for arrests, prison time for vandals targeting monuments: 'there will be no exceptions!'",trump,2020-06-23
"eric roberts criticizes trump, supporters for attending oklahoma rally amid the coronavirus pandemic",trump,2020-06-23
"peter navarro declares trade deal between trump, china is 'over'",trump,2020-06-23
"trump vows no ‘autonomous zone’ in dc, after protesters cleared",trump,2020-06-23
biden campaign goes after trump comments on venezuela,trump,2020-06-23
trump threats raise question: can bolton's book proceeds be seized?,trump,2020-06-23
brian goes one-on-one with president trump in the oval office,trump,2020-06-23
trump blasts statue removals: 'if you give power to people that topple monuments … than nothing is safe',trump,2020-06-23
"trump praises appellate court order to drop flynn case, slams democrat opposition to gop police reform bill",trump,2020-06-24
trump scores court win on hospital price transparency,trump,2020-06-24
trump and biden pitch their economic recovery plans,trump,2020-06-24
"mark cuban: donald trump wants to run a campaign, joe biden wants to run a country",trump,2020-06-24
twitter permanently bans pro-trump meme creator carpe donktum for copyright infringement,trump,2020-06-24
pence insists trump hasn't told him to slow pace of coronavirus testing,trump,2020-06-24
msnbc's joe scarborough says president trump 'acts like he doesn’t want to get reelected',trump,2020-06-24
president trump's brother trying to stop mary trump's family tell-all book: report,trump,2020-06-24
rob reiner calls a vote for trump 'a vote for death' in latest twitter rebuke,trump,2020-06-24
"liz harrington: dems and media running same playbook as 2016, using 'horrible smears' against trump and supporters",trump,2020-06-24
panic! at the disco frontman brendon urie blasts donald trump campaign for using group's song at a rally,trump,2020-06-24
"trump to sign executive order protecting federal statues, monuments",trump,2020-06-24
"trump vows to protect statues of us presidents, jesus christ",trump,2020-06-24
trump condemns flag burning as dc protesters set us flag on fire,trump,2020-06-24
